Graph already exists at: ./input/random_graphs/graph_10_33_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_20_86_POWLAW_6230961512046992311.txt
Running experiments with 1 iterations, varying N from 10 to 10,000 and seed token 1729
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath0_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath1_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath2_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpathN_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath0_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath1_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath2_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpathN_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath0_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath1_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath2_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpathN_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev0_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev1_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev2_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klevN_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev0_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev1_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev2_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klevN_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev0_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev1_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev2_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klevN_k10_seed_1729_itr_1_20250804_101736.csv
Running kpath variant 0 with N=10, sparsity=2, k=2, seed=1729...
Running kpath variant 1 with N=70, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 27.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=70, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 24.0, Time/Memory: 0.00,4164
Running kpath variant N with N=70, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 24.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=70, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 27.0, Time/Memory: 0.00,3156
Running kpath variant 1 with N=70, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running kpath variant 2 with N=70, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4176
Running kpath variant N with N=70, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=70, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 22.0, Time/Memory: 0.00,4196
Running klev variant 1 with N=70, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 22.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=70, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 22.0, Time/Memory: 0.00,4196
Running klev variant N with N=70, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 22.0, Time/Memory: 0.00,4196
Graph already exists at: ./input/random_graphs/graph_80_505_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_90_584_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_100_664_POWLAW_6230961512046992311.txt
Running klev variant 0 with N=70, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 22.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=70, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 22.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=70, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 22.0, Time/Memory: 0.00,4176
Running klev variant N with N=70, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 22.0, Time/Memory: 0.00,4164
Running klev variant 0 with N=70, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 22.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=70, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=70, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4224
Running klev variant N with N=70, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=80, sparsity=2, k=2, seed=1729...
      Average Passes: 6.0,  Average Height: 29.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=80, sparsity=2, k=2, seed=1729...
      Average Passes: 5.0,  Average Height: 27.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=80, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 28.0, Time/Memory: 0.00,4196
Running kpath variant N with N=80, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 28.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=80, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 32.0, Time/Memory: 0.00,4196
Running kpath variant 1 with N=80, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 28.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=80, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 30.0, Time/Memory: 0.00,4176
Running kpath variant N with N=80, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 30.0, Time/Memory: 0.00,4192
Running kpath variant 0 with N=80, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 28.0, Time/Memory: 0.00,4164
Running kpath variant 1 with N=80, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=80, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant N with N=80, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4164
Running klev variant 0 with N=80, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 31.0, Time/Memory: 0.00,4192
Running klev variant 1 with N=80, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 31.0, Time/Memory: 0.00,4172
Running klev variant 2 with N=80, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 31.0, Time/Memory: 0.00,4168
Running klev variant N with N=80, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 31.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=80, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 31.0, Time/Memory: 0.00,4164
Running klev variant 1 with N=80, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 31.0, Time/Memory: 0.00,4172
Running klev variant 2 with N=80, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 31.0, Time/Memory: 0.00,4168
Running klev variant N with N=80, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 31.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=80, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 31.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=80, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=80, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant N with N=80, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4188
Running kpath variant 0 with N=90, sparsity=2, k=2, seed=1729...
      Average Passes: 6.0,  Average Height: 36.0, Time/Memory: 0.00,4176
Running kpath variant 1 with N=90, sparsity=2, k=2, seed=1729...
      Average Passes: 6.0,  Average Height: 39.0, Time/Memory: 0.00,4176
Running kpath variant 2 with N=90, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 38.0, Time/Memory: 0.00,4188
Running kpath variant N with N=90, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 38.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=90, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 40.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=90, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 38.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=90, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 38.0, Time/Memory: 0.00,4224
Running kpath variant N with N=90, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 38.0, Time/Memory: 0.00,4180
Running kpath variant 0 with N=90, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 37.0, Time/Memory: 0.00,4196
Running kpath variant 1 with N=90, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=90, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant N with N=90, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=90, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 38.0, Time/Memory: 0.00,4196
Running klev variant 1 with N=90, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 40.0, Time/Memory: 0.00,4164
Running klev variant 2 with N=90, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 40.0, Time/Memory: 0.00,4180
Running klev variant N with N=90, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 40.0, Time/Memory: 0.00,4196
Running klev variant 0 with N=90, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 38.0, Time/Memory: 0.00,4188
Running klev variant 1 with N=90, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 40.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=90, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 40.0, Time/Memory: 0.00,4196
Running klev variant N with N=90, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 40.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=90, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 38.0, Time/Memory: 0.00,4196
Running klev variant 1 with N=90, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=90, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4172
Running klev variant N with N=90, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=100, sparsity=2, k=2, seed=1729...
      Average Passes: 6.0,  Average Height: 41.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=100, sparsity=2, k=2, seed=1729...
      Average Passes: 6.0,  Average Height: 40.0, Time/Memory: 0.00,4196
Running kpath variant 2 with N=100, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 38.0, Time/Memory: 0.00,4168
Running kpath variant N with N=100, sparsity=2, k=2, seed=1729...
Graph already exists at: ./input/random_graphs/graph_200_1528_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_300_2468_POWLAW_6230961512046992311.txt
      Average Passes: 3.0,  Average Height: 37.0, Time/Memory: 0.00,4196
Running kpath variant 0 with N=100, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 39.0, Time/Memory: 0.00,4164
Running kpath variant 1 with N=100, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 39.0, Time/Memory: 0.00,4188
Running kpath variant 2 with N=100, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 42.0, Time/Memory: 0.00,4196
Running kpath variant N with N=100, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 42.0, Time/Memory: 0.00,4196
Running kpath variant 0 with N=100, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 42.0, Time/Memory: 0.00,4176
Running kpath variant 1 with N=100, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=100, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant N with N=100, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=100, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 42.0, Time/Memory: 0.00,4196
Running klev variant 1 with N=100, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 43.0, Time/Memory: 0.00,4180
Running klev variant 2 with N=100, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 43.0, Time/Memory: 0.00,4224
Running klev variant N with N=100, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 42.0, Time/Memory: 0.00,4252
Running klev variant 0 with N=100, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 42.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=100, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 43.0, Time/Memory: 0.00,4184
Running klev variant 2 with N=100, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 42.0, Time/Memory: 0.00,4184
Running klev variant N with N=100, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 42.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=100, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 42.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=100, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4176
Running klev variant 2 with N=100, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running klev variant N with N=100, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running kpath variant 0 with N=200, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 59.0, Time/Memory: 0.00,4180
Running kpath variant 1 with N=200, sparsity=2, k=2, seed=1729...
      Average Passes: 6.0,  Average Height: 57.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=200, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 57.0, Time/Memory: 0.00,4164
Running kpath variant N with N=200, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 57.0, Time/Memory: 0.00,4224
Running kpath variant 0 with N=200, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 60.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=200, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 59.0, Time/Memory: 0.00,4196
Running kpath variant 2 with N=200, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 53.0, Time/Memory: 0.00,4192
Running kpath variant N with N=200, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 53.0, Time/Memory: 0.00,4196
Running kpath variant 0 with N=200, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 61.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=200, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4192
Running kpath variant 2 with N=200, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant N with N=200, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=200, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 59.0, Time/Memory: 0.00,4196
Running klev variant 1 with N=200, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 59.0, Time/Memory: 0.00,4212
Running klev variant 2 with N=200, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 59.0, Time/Memory: 0.00,4168
Running klev variant N with N=200, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 59.0, Time/Memory: 0.00,4196
Running klev variant 0 with N=200, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 59.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=200, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 59.0, Time/Memory: 0.00,4196
Running klev variant 2 with N=200, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 59.0, Time/Memory: 0.00,4168
Running klev variant N with N=200, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 59.0, Time/Memory: 0.00,4176
Running klev variant 0 with N=200, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 59.0, Time/Memory: 0.00,4172
Running klev variant 1 with N=200, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4192
Running klev variant 2 with N=200, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4172
Running klev variant N with N=200, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4252
Running kpath variant 0 with N=300, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 82.0, Time/Memory: 0.00,4216
Running kpath variant 1 with N=300, sparsity=2, k=2, seed=1729...
      Average Passes: 8.0,  Average Height: 80.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=300, sparsity=2, k=2, seed=1729...
      Average Passes: 6.0,  Average Height: 81.0, Time/Memory: 0.00,4168
Running kpath variant N with N=300, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 82.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=300, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 84.0, Time/Memory: 0.00,4192
Running kpath variant 1 with N=300, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 79.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=300, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 81.0, Time/Memory: 0.00,4212
Running kpath variant N with N=300, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 82.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=300, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 85.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=300, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 8.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=300, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 8.0, Time/Memory: 0.00,4252
Running kpath variant N with N=300, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 8.0, Time/Memory: 0.00,4204
Running klev variant 0 with N=300, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 83.0, Time/Memory: 0.00,4184
Running klev variant 1 with N=300, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 83.0, Time/Memory: 0.00,4216
Running klev variant 2 with N=300, sparsity=2, k=2, seed=1729...
Graph already exists at: ./input/random_graphs/graph_400_3457_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_500_4482_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_600_5537_POWLAW_6230961512046992311.txt
      Average Passes: 2.0,  Average Height: 83.0, Time/Memory: 0.00,4168
Running klev variant N with N=300, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 83.0, Time/Memory: 0.00,4184
Running klev variant 0 with N=300, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 83.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=300, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 83.0, Time/Memory: 0.00,4196
Running klev variant 2 with N=300, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 83.0, Time/Memory: 0.00,4168
Running klev variant N with N=300, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 83.0, Time/Memory: 0.00,4212
Running klev variant 0 with N=300, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 83.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=300, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 8.0, Time/Memory: 0.00,4164
Running klev variant 2 with N=300, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 8.0, Time/Memory: 0.00,4172
Running klev variant N with N=300, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 8.0, Time/Memory: 0.00,4224
Running kpath variant 0 with N=400, sparsity=2, k=2, seed=1729...
      Average Passes: 6.0,  Average Height: 58.0, Time/Memory: 0.00,4236
Running kpath variant 1 with N=400, sparsity=2, k=2, seed=1729...
      Average Passes: 6.0,  Average Height: 56.0, Time/Memory: 0.00,4164
Running kpath variant 2 with N=400, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 58.0, Time/Memory: 0.00,4168
Running kpath variant N with N=400, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 58.0, Time/Memory: 0.00,4156
Running kpath variant 0 with N=400, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 59.0, Time/Memory: 0.00,4176
Running kpath variant 1 with N=400, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 60.0, Time/Memory: 0.00,4260
Running kpath variant 2 with N=400, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 65.0, Time/Memory: 0.00,4236
Running kpath variant N with N=400, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 65.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=400, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 61.0, Time/Memory: 0.00,3160
Running kpath variant 1 with N=400, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running kpath variant 2 with N=400, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant N with N=400, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4244
Running klev variant 0 with N=400, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 64.0, Time/Memory: 0.00,4176
Running klev variant 1 with N=400, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 64.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=400, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 66.0, Time/Memory: 0.00,4192
Running klev variant N with N=400, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 66.0, Time/Memory: 0.00,3188
Running klev variant 0 with N=400, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 64.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=400, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 64.0, Time/Memory: 0.00,4224
Running klev variant 2 with N=400, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 66.0, Time/Memory: 0.00,4184
Running klev variant N with N=400, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 66.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=400, sparsity=2, k=10, seed=1729...
      Average Passes: 4.0,  Average Height: 64.0, Time/Memory: 0.00,4164
Running klev variant 1 with N=400, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running klev variant 2 with N=400, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running klev variant N with N=400, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=500, sparsity=2, k=2, seed=1729...
      Average Passes: 6.0,  Average Height: 49.0, Time/Memory: 0.00,3108
Running kpath variant 1 with N=500, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 59.0, Time/Memory: 0.01,4212
Running kpath variant 2 with N=500, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 64.0, Time/Memory: 0.00,4168
Running kpath variant N with N=500, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 64.0, Time/Memory: 0.00,4164
Running kpath variant 0 with N=500, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 51.0, Time/Memory: 0.00,4276
Running kpath variant 1 with N=500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 52.0, Time/Memory: 0.00,4188
Running kpath variant 2 with N=500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 49.0, Time/Memory: 0.00,4168
Running kpath variant N with N=500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 49.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=500, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 50.0, Time/Memory: 0.00,4252
